"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"9/4/2017","Dell Technologies Champ","T18","1.053",".299","287.1","280.2","314","69.64","16' 11""","8.93","10.71","67","110.89","83"
"8/27/2017","THE NORTHERN TRUST","CUT","-2.150","-.643","288.8","280.9","333","50.00","17' 1""","25.00","3.57","1,998","108.89","-"
"8/13/2017","PGA Championship","CUT","-1.205","-1.302","284.0","287.4","309","67.86","67' 4""","3.70","7.41","1,998","-","-"
"8/6/2017","WGC-Bridgestone Invit'l","72","-3.447","-.353","312.9","292.0","363","48.21","25' 2""","28.57","14.29","75","110.32","64"
"7/23/2017","The Open Championship","T4","-","-","296.0","-","336","53.57","-","-","-","57","-","-"
"6/18/2017","U.S. Open","T42",".607","-.503","300.9","286.2","339","76.79","-","12.50","8.93","86","-","-"
"6/11/2017","FedEx St. Jude Classic","T4",".966",".559","287.1","290.0","340","62.50","23' 1""","10.71","25.00","60","111.54","83"
"6/4/2017","the Memorial Tournament","CUT","-1.354","-.707","285.3","288.4","330","57.14","36' 6""","21.43","14.29","1,998","112.57","1,998"
"5/14/2017","THE PLAYERS Championship","T4",".967","-.316","288.6","282.3","350","53.57","26' 3""","5.36","23.21","94","111.20","62"
"5/7/2017","Wells Fargo Championship","T24",".292",".304","289.9","282.1","332","69.64","31' 10""","7.14","10.71","37","113.12","66"
"4/16/2017","RBC Heritage","CUT","-1.428","-.310","294.5","277.6","326","46.43","36' 3""","7.14","21.43","1,998","111.38","1,998"
"4/9/2017","Masters Tournament","CUT","-","-","271.0","-","290","71.43","-","-","-","1,998","-","-"
"4/2/2017","Shell Houston Open","CUT","-2.877","-.496","286.0","273.0","293","64.29","20' 8""","7.14","17.86","1,998","110.51","1,998"
"3/26/2017","WGC-Dell Tech Match Play","T17","-","-","-","-","-","-","-","-","-","-","-","-"
"3/5/2017","WGC-Mexico Championship","T38","-.852","-.655","290.8","283.9","349","64.29","29' 8""","9.09","21.82","75","111.04","64"
