"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"8/27/2017","THE NORTHERN TRUST","T3","1.860",".455","298.4","297.8","355","62.50","35' 11""","3.64","25.45","68","115.83","45"
"8/13/2017","PGA Championship","T58",".726",".471","310.1","304.4","331","53.57","30' 2""","5.45","16.36","72","-","-"
"8/6/2017","WGC-Bridgestone Invit'l","T28",".141","1.655","324.4","315.4","393","58.93","15' 9""","25.00","16.07","24","117.02","70"
"7/23/2017","The Open Championship","T44","-","-","309.4","-","357","50.00","-","-","-","36","-","-"
"6/18/2017","U.S. Open","CUT","-.593",".465","307.8","309.1","357","60.71","-","32.14","7.14","1,998","-","-"
"6/4/2017","the Memorial Tournament","CUT","-1.441","-.041","306.8","303.6","355","67.86","26' 0""","3.70","14.81","1,998","115.94","1,998"
"5/28/2017","DEAN & DELUCA Invt'l","T2","2.861","1.157","318.3","301.4","368","50.00","25' 1""","21.43","17.86","55","117.02","20"
"5/14/2017","THE PLAYERS Championship","T72",".670",".106","298.5","288.9","349","54.76","21' 8""","9.52","11.90","1,998","117.45","1,998"
"5/7/2017","Wells Fargo Championship","4","1.973","1.560","316.9","304.9","362","66.07","24' 9""","7.14","14.29","19","117.74","15"
"4/9/2017","Masters Tournament","T27","-","-","279.6","-","338","58.93","-","-","-","76","-","-"
"4/2/2017","Shell Houston Open","T10","1.797","1.213","295.9","294.5","334","60.71","25' 4""","21.43","8.93","59","115.79","7"
"3/26/2017","WGC-Dell Tech Match Play","2","-","-","-","-","-","-","-","-","-","-","-","-"
"3/5/2017","WGC-Mexico Championship","T3","1.809","1.275","331.8","315.8","373","51.79","28' 0""","20.37","22.22","67","117.56","54"
"2/12/2017","AT&T Pebble Beach","T5","2.965",".988","287.4","276.4","368","70.91","33' 2""","7.41",".00","51","114.86","23"
"2/5/2017","Waste Management Phoenix","T16","1.931","1.347","316.8","317.9","355","64.29","27' 7""","7.14","5.36","18","116.01","11"
"1/29/2017","Farmers Insurance Open","1","3.264","1.134","296.4","294.6","316","60.71","29' 9""","9.52","7.14","35","115.72","20"
"1/22/2017","CareerBuilder Challenge","T34","-.631",".651","288.3","277.6","311","53.57","23' 5""","17.86","28.57","105","115.07","96"
"11/27/2016","(*) ISPS HANDA World Cup","T8","-","-","-","-","-","-","-","-","-","-","-","-"
"11/13/2016","OHL Classic at Mayakoba","T50","-","-","287.8","-","308","64.29","-","-","-","77","-","-"
"11/6/2016","Shriners Hospitals","T15","1.824",".593","322.6","310.0","368","51.79","24' 2""","16.07","28.57","54","118.93","52"
"10/16/2016","Safeway Open","T15","2.145",".991","297.8","286.8","330","55.36","23' 2""","19.64","16.07","52","113.58","10"
"8/21/2016","Wyndham Championship","CUT","-.877",".053","320.8","299.0","364","57.14","21' 8""","17.86","14.29","1,998","-","-"
"8/14/2016","John Deere Classic","T14",".874",".806","314.4","297.3","349","69.64","32' 4""","3.64","12.73","63","116.16","4"
"8/7/2016","Travelers Championship","T25","1.606",".611","312.9","300.6","354","57.14","25' 8""","10.91","14.55","69","115.64","8"
"7/24/2016","RBC Canadian Open","T2","1.981","1.615","328.5","322.3","391","60.71","35' 3""","14.55","16.36","11","114.20","12"
"7/17/2016","The Open Championship","T59","-","-","284.4","-","311","62.50","-","-","-","76","-","-"
"7/3/2016","Barracuda Championship","T72","-","-","-","-","-","-","-","-","-","-","-","-"
"6/26/2016","Quicken Loans National","T3","1.688",".796","308.3","302.2","351","67.86","32' 10""","7.41","12.96","13","115.88","20"
"6/19/2016","U.S. Open","T23","-","-","306.9","-","331","50.00","-","-","-","62","-","-"
"11/15/2015","OHL Classic at Mayakoba","T10","-","-","286.4","-","304","62.50","-","-","-","57","-","-"
"6/28/2015","Travelers Championship","T64",".809","1.176","290.6","289.4","334","67.86","13' 9""","12.50","10.71","73","115.09","81"
"2/1/2015","Waste Management Phoenix","T5","2.254","1.120","300.8","299.7","344","64.29","22' 9""","10.71","7.14","43","118.28","52"
"11/16/2014","OHL Classic at Mayakoba","CUT","-","-","296.3","-","307","50.00","-","-","-","1,998","-","-"
