"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"6/5/2016","the Memorial Tournament","T65","-1.423",".731","299.6","301.0","356","51.79","29' 9""","14.29","23.21","89","122.56","77"
"5/15/2016","THE PLAYERS Championship","T43",".588","1.137","299.3","291.7","346","51.79","18' 3""","19.64","14.29","85","119.11","48"
"4/10/2016","Masters Tournament","T37","-","-","293.5","-","341","64.29","-","-","-","43","-","-"
"3/27/2016","WGC-Dell Match Play","T28","-","-","-","-","-","-","-","-","-","-","-","-"
"3/6/2016","WGC-Cadillac Championship","2","3.470","1.172","316.8","308.6","364","48.21","32' 5""","10.71","19.64","49","122.22","102"
"2/21/2016","Northern Trust Open","1","2.411",".623","295.3","295.1","341","50.00","30' 9""","25.93","11.11","68","121.14","16"
"2/14/2016","AT&T Pebble Beach","T70","-2.401",".617","306.8","284.1","409","87.80","17' 1""","7.69",".00","1,998","119.36","1,998"
"2/7/2016","Waste Management Phoenix","T14","2.710","1.066","314.5","312.7","348","55.36","27' 11""","12.50","14.29","48","120.73","83"
"1/10/2016","Hyundai T of C","T10","1.945","1.911","320.9","319.8","411","55.00","24' 2""","15.00","23.33","34","121.09","13"
"12/6/2015","(*) Hero World Challenge","1","-","-","-","-","-","-","-","-","-","-","-","-"
"11/8/2015","WGC-HSBC Champions","T35","-","-","-","-","336","60.71","-","-","-","-","-","-"
"10/11/2015","(*) Presidents Cup","1","-","-","-","-","-","-","-","-","-","-","-","-"
"9/27/2015","TOUR Championship","T5",".744",".756","290.3","291.4","355","53.57","32' 0""","5.45","30.91","22","121.55","8"
"9/20/2015","BMW Championship","T10","2.088",".777","299.8","300.6","353","50.00","26' 4""","16.07","17.86","78","122.51","78"
"9/7/2015","Deutsche Bank Champ","T29",".768","1.702","338.4","305.3","371","62.50","27' 5""","16.36","14.55","41","122.30","38"
"8/30/2015","The Barclays","3","3.530","1.214","331.5","304.3","376","41.07","29' 9""","30.91","23.64","71","124.34","116"
"8/16/2015","PGA Championship","T21","2.329",".725","310.8","312.0","402","55.36","32' 4""","9.26","20.37","62","-","-"
"8/9/2015","WGC-Bridgestone Invit'l","2","2.850","1.542","362.1","331.3","399","46.43","29' 7""","27.27","25.45","30","123.63","34"
"7/26/2015","RBC Canadian Open","2","2.847","1.100","339.5","321.7","388","50.00","35' 2""","23.21","16.07","44","125.96","29"
"7/19/2015","The Open Championship","CUT","-","-","304.3","-","349","62.50","-","-","-","1,998","-","-"
"7/5/2015","The Greenbrier Classic","T13","1.817","1.309","298.1","307.2","348","66.07","24' 10""","14.55","12.73","75","121.77","82"
