"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"8/27/2017","THE NORTHERN TRUST","T10",".599","50.00","7' 3""","75.00","100.00","66.67","66.67","75.00","77.78","100.00"
"8/13/2017","PGA Championship","CUT","-1.612","57.14","13' 1""","35.29",".00","42.86",".00","33.33","50.00","66.67"
"8/6/2017","WGC-Bridgestone Invit'l","T17",".542","66.67","6' 2""","70.37","100.00","80.00","66.67","57.14","60.00","90.91"
"7/30/2017","RBC Canadian Open","T42",".295","50.00","12' 7""","64.29","100.00","80.00",".00","42.86","100.00","88.89"
"7/23/2017","The Open Championship","T27","-","85.71","-","60.00","-","-","-","-","-","-"
"7/16/2017","John Deere Classic","T44",".452","25.00","10' 6""","56.25","-","83.33","50.00","25.00","66.67","100.00"
"7/9/2017","The Greenbrier Classic","T70","-.779","28.57","16' 5""","56.25","100.00","50.00","37.50","12.50","75.00","100.00"
"6/25/2017","Travelers Championship","CUT","-.490","25.00","7' 2""","22.22",".00","50.00",".00","-",".00","66.67"
"6/18/2017","U.S. Open","CUT","-1.024",".00","12' 7""","46.67","100.00",".00","25.00","20.00","75.00","100.00"
"6/4/2017","the Memorial Tournament","T6",".348","38.46","9' 3""","47.83","100.00","42.86","100.00","100.00","10.00","80.00"
"5/14/2017","THE PLAYERS Championship","CUT",".054","50.00","17' 9""","47.06","-","33.33","20.00","50.00","40.00","100.00"
"4/30/2017","Zurich Classic of New Orl","T5","-","-","-","-","-","-","-","-","-","-"
"4/9/2017","Masters Tournament","CUT","-","66.67","-","52.63","-","-","-","-","-","-"
"3/26/2017","WGC-Dell Tech Match Play","T9","-","-","-","-","-","-","-","-","-","-"
"3/19/2017","Arnold Palmer Invt'l","T34","-.648","80.00","11' 5""","50.00","100.00","40.00","16.67","100.00","40.00","100.00"
"3/12/2017","Valspar Championship","CUT","1.607","83.33","5' 0""","62.50","33.33","57.14",".00","42.86","83.33","100.00"
"3/5/2017","WGC-Mexico Championship","T38","-1.155","20.00","20' 10""","67.65","85.71","66.67","50.00","33.33","62.50","90.91"
"2/19/2017","Genesis Open","W/D","-1.360","-","-","50.00","-","40.00","-","50.00","50.00","50.00"
"2/5/2017","Waste Management Phoenix","CUT","-.441","33.33","7' 7""","53.33","100.00","60.00",".00","66.67","50.00","100.00"
"1/8/2017","SBS Tournament of Champ","T25","-.626",".00","16' 3""","50.00","100.00","25.00",".00","50.00","42.86","100.00"
"12/4/2016","(*) Hero World Challenge","T6","-","-","-","-","-","-","-","-","-","-"
"10/30/2016","WGC-HSBC Champions","T54","-","100.00","-","50.00","-","-","-","-","-","-"
"9/25/2016","TOUR Championship","T10",".053","40.00","16' 4""","54.55","100.00","75.00","40.00","66.67","40.00","100.00"
