"Date","Tournament","Finish Pos.","SG: Around-the-Green","Sand Save Percentage","Proximity to Hole from Sand","Scrambling","Scrambling from the Fringe","Scrambling from the Rough","Scrambling from > 30 yards","Scrambling from 20-30 yards","Scrambling from 10-20 yards","Scrambling from < 10 yards"
"11/6/2016","Shriners Hospitals","T15","-.014","50.00","11' 7""","57.89","100.00","50.00",".00","50.00","66.67","75.00"
"10/23/2016","CIMB Classic","T33","-","53.85","-","69.57","-","-","-","-","-","-"
"10/16/2016","Safeway Open","CUT","-.837","100.00","5' 6""","57.14","100.00","37.50",".00","-","75.00","66.67"
"9/11/2016","BMW Championship","T13","-.111","33.33","10' 8""","76.00","100.00","81.25","-","71.43","81.82","71.43"
"9/5/2016","Deutsche Bank Champ","T24","-.026","42.86","6' 4""","46.67","-","75.00","100.00",".00","55.56","100.00"
"8/28/2016","The Barclays","T22",".385","66.67","8' 7""","61.54","100.00","60.00","42.86","50.00","66.67","100.00"
"8/21/2016","Wyndham Championship","CUT","-.206","50.00","7' 6""","75.00","100.00","100.00","50.00","-","80.00","100.00"
"8/14/2016","John Deere Classic","CUT",".875","66.67","8' 0""","78.57","100.00","75.00",".00","66.67","100.00","100.00"
"8/7/2016","Travelers Championship","CUT",".617","75.00","7' 5""","61.54","100.00","25.00","40.00","100.00","50.00","100.00"
"7/24/2016","RBC Canadian Open","T23",".458","46.15","10' 5""","65.52","-","68.75","-","33.33","60.00","100.00"
"7/17/2016","Barbasol Championship","T8",".343","75.00","8' 2""","68.42","85.71","50.00",".00","66.67","62.50","100.00"
"6/26/2016","Quicken Loans National","T29",".836","66.67","8' 7""","65.52","100.00","66.67","33.33","80.00","85.71","75.00"
"6/5/2016","the Memorial Tournament","T33",".031","66.67","4' 11""","72.73","100.00","66.67","100.00","50.00","70.00","100.00"
"5/29/2016","DEAN & DELUCA Invt'l","T25",".293","66.67","9' 6""","57.14","100.00","37.50",".00","75.00","66.67","100.00"
"5/22/2016","AT&T Byron Nelson","CUT","1.433","66.67","6' 4""","69.23","100.00","50.00",".00","100.00","100.00","66.67"
"5/15/2016","THE PLAYERS Championship","T54",".854","50.00","6' 8""","54.84","100.00","42.86","20.00","50.00","50.00","100.00"
"5/8/2016","Wells Fargo Championship","T35","-.931","83.33","8' 5""","45.16","100.00","31.25","50.00","50.00","36.36","60.00"
"5/1/2016","Zurich Classic of New Orl","CUT","-.443","50.00","13' 5""","61.54","-","-","66.67","66.67","100.00",".00"
"4/24/2016","Valero Texas Open","T51",".365","57.14","7' 3""","70.97","100.00","69.23","20.00","40.00","85.71","100.00"
"4/17/2016","RBC Heritage","CUT","-.607","66.67","6' 9""","50.00","100.00","20.00","16.67","100.00","60.00","100.00"
"4/3/2016","Shell Houston Open","T52","-.035","37.50","12' 2""","52.17","100.00","33.33","16.67","66.67","60.00","100.00"
"3/20/2016","Arnold Palmer Invt'l","T17","-.016","75.00","10' 4""","78.13","100.00","75.00","66.67","71.43","91.67","100.00"
"3/13/2016","Valspar Championship","CUT",".272","70.00","15' 8""","73.68","-","77.78","50.00","40.00","90.00","100.00"
"2/28/2016","The Honda Classic","CUT","-.784","33.33","7' 10""","41.18","100.00","50.00",".00","75.00","60.00","100.00"
"2/21/2016","Northern Trust Open","T72",".685","66.67","10' 4""","64.71","100.00","47.06",".00","66.67","72.22","75.00"
"2/7/2016","Waste Management Phoenix","T58",".122","57.14","7' 1""","61.11","-","50.00","37.50","62.50","63.64","87.50"
"1/31/2016","Farmers Insurance Open","71","-.456","16.67","12' 4""","24.14","100.00","30.77",".00","28.57","42.86",".00"
"1/24/2016","CareerBuilder Challenge","T11",".198","75.00","7' 10""","73.33","100.00","66.67","-",".00","100.00","50.00"
"1/17/2016","Sony Open in Hawaii","T13",".320","55.56","7' 3""","71.43","100.00","60.00",".00","71.43","75.00","80.00"
"11/22/2015","The RSM Classic","CUT","-.990","100.00","-","50.00","100.00","50.00",".00","50.00","-","-"
"11/15/2015","OHL Classic at Mayakoba","T40","-","20.00","-","60.00","100.00","57.14","-","-","-","-"
"11/1/2015","CIMB Classic","T7","-","50.00","-","92.31","-","-","-","-","-","-"
"10/25/2015","Shriners Hospitals","T56","-.665",".00","15' 9""","44.44","100.00","33.33",".00","-","42.86","71.43"
"10/18/2015","Frys.com Open","CUT","-.456","16.67","9' 9""","53.85","100.00","50.00","100.00","25.00","50.00","100.00"
"9/20/2015","BMW Championship","T53",".085","40.00","5' 1""","56.52","100.00","33.33",".00","50.00","66.67","100.00"
"9/7/2015","Deutsche Bank Champ","T12",".040","54.55","12' 3""","68.75","100.00","63.64","75.00","33.33","71.43","71.43"
"8/30/2015","The Barclays","T30","-.040",".00","19' 9""","42.11","-","28.57","16.67","50.00","66.67","50.00"
"8/23/2015","Wyndham Championship","CUT",".494","50.00","1' 8""","73.33","100.00","33.33","25.00","100.00","85.71","100.00"
"8/16/2015","PGA Championship","CUT","-1.815","20.00","10' 3""","50.00","100.00","75.00",".00","50.00","55.56","100.00"
"7/26/2015","RBC Canadian Open","T34","-.221","50.00","10' 11""","61.90","100.00","77.78",".00","50.00","71.43","87.50"
"7/19/2015","The Open Championship","CUT","-",".00","-","75.00","-","-","-","-","-","-"
"7/12/2015","John Deere Classic","T24",".560","100.00","2' 11""","76.92","100.00","75.00","33.33",".00","100.00","100.00"
"6/28/2015","Travelers Championship","3","-.189","33.33","18' 1""","66.67","100.00","75.00","50.00","40.00","100.00","80.00"
"6/21/2015","U.S. Open","CUT","-","75.00","-","50.00","-","-","-","-","-","-"
"6/14/2015","FedEx St. Jude Classic","CUT","-1.541","100.00","10' 9""","42.86",".00",".00","-","-","55.56","50.00"
"5/31/2015","AT&T Byron Nelson","T39",".281","75.00","-","61.11","50.00","80.00","-","-",".00","100.00"
"5/24/2015","Crowne Plaza Invitational","T10",".135","16.67","11' 11""","50.00","100.00","66.67","50.00","100.00","20.00","66.67"
"5/17/2015","Wells Fargo Championship","CUT","-.640","66.67","5' 9""","52.94","100.00","57.14",".00","66.67","25.00","85.71"
"5/10/2015","THE PLAYERS Championship","T8",".384","66.67","6' 3""","75.00","100.00","80.00","50.00","-","80.00","100.00"
"4/19/2015","RBC Heritage","T44",".774","57.14","6' 2""","65.63","100.00","50.00","60.00","66.67","66.67","75.00"
"4/12/2015","Masters Tournament","CUT","-","33.33","-","50.00","-","-","-","-","-","-"
"4/5/2015","Shell Houston Open","CUT","-.015","50.00","7' 10""","60.00","100.00","50.00",".00","100.00","100.00","100.00"
"3/29/2015","Valero Texas Open","CUT",".307","75.00","3' 4""","42.11",".00","44.44","25.00","-","50.00","33.33"
"3/22/2015","Arnold Palmer Invt'l","CUT","-.700",".00","16' 11""","50.00","100.00","66.67",".00",".00","75.00","50.00"
"3/15/2015","Valspar Championship","CUT",".581","75.00","5' 8""","64.71","-","69.23",".00","40.00","85.71","100.00"
"3/1/2015","The Honda Classic","T11","-.291","57.14","6' 10""","60.87","100.00","55.56",".00","33.33","73.33","100.00"
"2/22/2015","Northern Trust Open","CUT",".001","60.00","9' 3""","59.09","100.00","37.50","25.00","60.00","55.56","100.00"
"2/8/2015","Farmers Insurance Open","T32","-.537","85.71","6' 6""","52.17","100.00","25.00","20.00",".00","100.00","33.33"
"2/1/2015","Waste Management Phoenix","T66","-.070","61.54","6' 8""","67.57","100.00","50.00","40.00","87.50","58.82","100.00"
"1/18/2015","Sony Open in Hawaii","T13",".575","80.00","6' 7""","62.50","100.00","40.00","33.33","50.00","100.00","33.33"
"1/12/2015","Hyundai T of C","T17","-.422","100.00","3' 9""","66.67","100.00","62.50","80.00","60.00","40.00","100.00"
"11/16/2014","OHL Classic at Mayakoba","CUT","-",".00","-","46.15","66.67","100.00","-","-","-","-"
"10/26/2014","The McGladrey Classic","T41","1.267","50.00","4' 6""","58.82","100.00","57.14",".00","60.00","62.50","100.00"
"9/7/2014","BMW Championship","T43","-.211","33.33","12' 11""","51.85",".00","60.00","20.00","50.00","55.56","100.00"
"9/1/2014","Deutsche Bank Champ","T65",".311","80.00","6' 4""","56.67","100.00","57.14","33.33","33.33","66.67","80.00"
"8/24/2014","The Barclays","T57",".609","37.50","5' 6""","64.00","100.00","66.67",".00","60.00","75.00","100.00"
"8/17/2014","Wyndham Championship","CUT",".997","100.00","3' 9""","68.75","100.00","66.67","50.00","66.67","66.67","100.00"
