"Date","Tournament","Finish Pos.","SG: Tee-to-Green","SG: Off-the-Tee","Driving Distance","Driving Distance - All Drives","Longest Drives","Driving Accuracy Percentage","Distance from Edge of Fairway","Left Rough Tendency","Right Rough Tendency","Total Driving","Club Head Speed","Total Driving Efficiency"
"7/17/2016","Barbasol Championship","T8","1.474",".671","292.1","283.6","357","73.21","23' 10""","10.71","10.71","41","110.80","20"
"6/26/2016","Quicken Loans National","T29",".249",".019","288.3","286.1","349","58.93","26' 0""","23.21","10.71","79","110.22","35"
"6/5/2016","the Memorial Tournament","T33",".092",".719","286.3","285.4","336","76.79","21' 0""","8.93","7.14","56","112.70","84"
"5/29/2016","DEAN & DELUCA Invt'l","T25",".918",".458","288.1","282.2","322","62.50","17' 3""","7.14","12.50","60","112.69","95"
"5/22/2016","AT&T Byron Nelson","CUT","-.190","-.524","274.0","276.1","306","57.14","27' 6""","3.57","28.57","1,998","108.24","1,998"
"5/15/2016","THE PLAYERS Championship","T54","-.139",".539","291.8","290.2","337","67.86","29' 4""","9.26","11.11","59","108.64","19"
"5/8/2016","Wells Fargo Championship","T35","-1.232",".196","278.6","287.6","334","62.50","22' 0""","10.71","17.86","63","108.02","85"
"5/1/2016","Zurich Classic of New Orl","CUT","-1.549","-.722","288.5","274.6","315","57.14","26' 9""",".00","32.14","1,998","109.59","1,998"
"4/24/2016","Valero Texas Open","T51","-.541",".163","287.3","279.4","315","64.29","22' 2""","8.93","14.29","61","111.50","45"
"4/17/2016","RBC Heritage","CUT","-3.719","-.312","277.5","268.2","305","50.00","28' 3""","21.43","14.29","1,998","108.36","1,998"
"4/3/2016","Shell Houston Open","T52","-.109",".167","282.9","280.9","316","60.71","23' 0""","16.07","8.93","98","111.01","93"
"3/20/2016","Arnold Palmer Invt'l","T17","-.806","-.335","284.8","279.9","330","64.29","23' 6""","12.50","8.93","106","110.70","78"
"3/13/2016","Valspar Championship","CUT","-1.927","-.606","287.0","270.5","317","57.69","35' 11""","11.54","15.38","1,998","109.24","-"
"2/28/2016","The Honda Classic","CUT","-4.202",".590","282.5","271.0","306","71.43","18' 11""","14.29","14.29","1,998","108.72","1,998"
"2/21/2016","Northern Trust Open","T72","-1.100",".388","283.4","277.7","304","60.71","16' 0""","8.93","26.79","53","110.63","61"
"2/7/2016","Waste Management Phoenix","T58","-2.151","-.722","282.9","286.0","319","58.93","26' 8""","17.86","8.93","90","110.44","120"
"1/31/2016","Farmers Insurance Open","71","-2.267",".030","287.9","278.2","309","44.64","33' 0""","23.08","23.08","99","-","-"
"1/24/2016","CareerBuilder Challenge","T11","2.445","1.493","292.5","277.6","309","73.21","16' 1""","3.57","7.14","51","112.36","118"
"1/17/2016","Sony Open in Hawaii","T13",".211",".113","306.8","289.0","347","55.36","24' 8""","16.07","14.29","64","112.49","78"
"11/22/2015","The RSM Classic","CUT","-1.069",".452","283.8","277.0","310","78.57","12' 5""","7.14","7.14","1,998","108.47","-"
"11/15/2015","OHL Classic at Mayakoba","T40","-","-","281.0","-","287","78.57","-","-","-","36","-","-"
"11/1/2015","CIMB Classic","T7","-","-","-","-","-","75.00","-","-","-","-","-","-"
